Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
-0.0687, 2040-2059, hadgem2_ao, Feb Anomaly, NZL
-0.3927, 2040-2059, hadgem2_ao, Mar Anomaly, NZL
0.67356, 2040-2059, hadgem2_ao, Apr Anomaly, NZL
1.65232, 2040-2059, hadgem2_ao, May Anomaly, NZL
0.50542, 2040-2059, hadgem2_ao, Jun Anomaly, NZL
-0.0992, 2040-2059, hadgem2_ao, Jul Anomaly, NZL
0.96746, 2040-2059, hadgem2_ao, Aug Anomaly, NZL
-0.5713, 2040-2059, hadgem2_ao, Sep Anomaly, NZL
-0.4643, 2040-2059, hadgem2_ao, Oct Anomaly, NZL
-0.0907, 2040-2059, hadgem2_ao, Nov Anomaly, NZL
0.16604, 2040-2059, hadgem2_ao, Dec Anomaly, NZL
0.51237, 2040-2059, hadgem2_cc, Jan Anomaly, NZL
-0.7213, 2040-2059, hadgem2_cc, Feb Anomaly, NZL
0.92902, 2040-2059, hadgem2_cc, Mar Anomaly, NZL
-0.6531, 2040-2059, hadgem2_cc, Apr Anomaly, NZL
-0.7796, 2040-2059, hadgem2_cc, May Anomaly, NZL
0.71261, 2040-2059, hadgem2_cc, Jun Anomaly, NZL
2.19166, 2040-2059, hadgem2_cc, Jul Anomaly, NZL
0.08909, 2040-2059, hadgem2_cc, Aug Anomaly, NZL
-0.6679, 2040-2059, hadgem2_cc, Sep Anomaly, NZL
0.01927, 2040-2059, hadgem2_cc, Oct Anomaly, NZL
0.76417, 2040-2059, hadgem2_cc, Nov Anomaly, NZL
0.84397, 2040-2059, hadgem2_cc, Dec Anomaly, NZL
-0.3128, 2040-2059, inmcm4, Jan Anomaly, NZL
-0.7581, 2040-2059, inmcm4, Feb Anomaly, NZL
-0.1314, 2040-2059, inmcm4, Mar Anomaly, NZL
0.05111, 2040-2059, inmcm4, Apr Anomaly, NZL
-0.4415, 2040-2059, inmcm4, May Anomaly, NZL
0.31582, 2040-2059, inmcm4, Jun Anomaly, NZL
-0.1593, 2040-2059, inmcm4, Jul Anomaly, NZL
-0.4031, 2040-2059, inmcm4, Aug Anomaly, NZL
-0.4557, 2040-2059, inmcm4, Sep Anomaly, NZL
0.1989, 2040-2059, inmcm4, Oct Anomaly, NZL
0.13998, 2040-2059, inmcm4, Nov Anomaly, NZL
0.44338, 2040-2059, inmcm4, Dec Anomaly, NZL
0.29617, 2040-2059, miroc5, Jan Anomaly, NZL
0.53992, 2040-2059, miroc5, Feb Anomaly, NZL
-0.6046, 2040-2059, miroc5, Mar Anomaly, NZL
-0.1683, 2040-2059, miroc5, Apr Anomaly, NZL
-0.522, 2040-2059, miroc5, May Anomaly, NZL
0.57989, 2040-2059, miroc5, Jun Anomaly, NZL
0.42818, 2040-2059, miroc5, Jul Anomaly, NZL
-0.2248, 2040-2059, miroc5, Aug Anomaly, NZL
-0.2316, 2040-2059, miroc5, Sep Anomaly, NZL
-0.8811, 2040-2059, miroc5, Oct Anomaly, NZL
-0.3826, 2040-2059, miroc5, Nov Anomaly, NZL
-0.2652, 2040-2059, miroc5, Dec Anomaly, NZL
-0.1997, 2040-2059, miroc_esm, Jan Anomaly, NZL
-0.388, 2040-2059, miroc_esm, Feb Anomaly, NZL
0.25959, 2040-2059, miroc_esm, Mar Anomaly, NZL
-0.3212, 2040-2059, miroc_esm, Apr Anomaly, NZL
0.37487, 2040-2059, miroc_esm, May Anomaly, NZL
0.58783, 2040-2059, miroc_esm, Jun Anomaly, NZL
0.01216, 2040-2059, miroc_esm, Jul Anomaly, NZL
-0.3685, 2040-2059, miroc_esm, Aug Anomaly, NZL
0.23071, 2040-2059, miroc_esm, Sep Anomaly, NZL
0.01586, 2040-2059, miroc_esm, Oct Anomaly, NZL
0.16838, 2040-2059, miroc_esm, Nov Anomaly, NZL
1.22099, 2040-2059, miroc_esm, Dec Anomaly, NZL
-0.2395, 2040-2059, mpi_esm_lr, Jan Anomaly, NZL
0.86759, 2040-2059, mpi_esm_lr, Feb Anomaly, NZL
2.70236, 2040-2059, mpi_esm_lr, Mar Anomaly, NZL
-0.2918, 2040-2059, mpi_esm_lr, Apr Anomaly, NZL
-1.0465, 2040-2059, mpi_esm_lr, May Anomaly, NZL
-0.346, 2040-2059, mpi_esm_lr, Jun Anomaly, NZL
-0.2519, 2040-2059, mpi_esm_lr, Jul Anomaly, NZL
-0.2339, 2040-2059, mpi_esm_lr, Aug Anomaly, NZL
-0.1093, 2040-2059, mpi_esm_lr, Sep Anomaly, NZL
-0.0483, 2040-2059, mpi_esm_lr, Oct Anomaly, NZL
0.13136, 2040-2059, mpi_esm_lr, Nov Anomaly, NZL
0.26414, 2040-2059, mpi_esm_lr, Dec Anomaly, NZL
-0.6454, 2040-2059, mpi_esm_mr, Jan Anomaly, NZL
-2.0461, 2040-2059, mpi_esm_mr, Feb Anomaly, NZL
0.42797, 2040-2059, mpi_esm_mr, Mar Anomaly, NZL
2.30891, 2040-2059, mpi_esm_mr, Apr Anomaly, NZL
1.43104, 2040-2059, mpi_esm_mr, May Anomaly, NZL
-1.0256, 2040-2059, mpi_esm_mr, Jun Anomaly, NZL
-0.5145, 2040-2059, mpi_esm_mr, Jul Anomaly, NZL
-0.6606, 2040-2059, mpi_esm_mr, Aug Anomaly, NZL
0.75248, 2040-2059, mpi_esm_mr, Sep Anomaly, NZL
1.07117, 2040-2059, mpi_esm_mr, Oct Anomaly, NZL
0.72406, 2040-2059, mpi_esm_mr, Nov Anomaly, NZL
-0.9412, 2040-2059, mpi_esm_mr, Dec Anomaly, NZL
-0.1415, 2040-2059, mri_cgcm3, Jan Anomaly, NZL
-0.149, 2040-2059, mri_cgcm3, Feb Anomaly, NZL
0.49414, 2040-2059, mri_cgcm3, Mar Anomaly, NZL
0.98204, 2040-2059, mri_cgcm3, Apr Anomaly, NZL
0.58037, 2040-2059, mri_cgcm3, May Anomaly, NZL
-0.1842, 2040-2059, mri_cgcm3, Jun Anomaly, NZL
-1.771, 2040-2059, mri_cgcm3, Jul Anomaly, NZL
-0.3278, 2040-2059, mri_cgcm3, Aug Anomaly, NZL
-0.7747, 2040-2059, mri_cgcm3, Sep Anomaly, NZL
0.09705, 2040-2059, mri_cgcm3, Oct Anomaly, NZL
0.58552, 2040-2059, mri_cgcm3, Nov Anomaly, NZL
0.50675, 2040-2059, mri_cgcm3, Dec Anomaly, NZL
-0.2765, 2040-2059, noresm1_m, Jan Anomaly, NZL
-0.2365, 2040-2059, noresm1_m, Feb Anomaly, NZL
-0.7899, 2040-2059, noresm1_m, Mar Anomaly, NZL
-0.4222, 2040-2059, noresm1_m, Apr Anomaly, NZL
-0.2225, 2040-2059, noresm1_m, May Anomaly, NZL
0.32793, 2040-2059, noresm1_m, Jun Anomaly, NZL
0.03294, 2040-2059, noresm1_m, Jul Anomaly, NZL
-0.584, 2040-2059, noresm1_m, Aug Anomaly, NZL
-0.1487, 2040-2059, noresm1_m, Sep Anomaly, NZL
0.6901, 2040-2059, noresm1_m, Oct Anomaly, NZL
-0.7173, 2040-2059, noresm1_m, Nov Anomaly, NZL
-0.0987, 2040-2059, noresm1_m, Dec Anomaly, NZL
-2.8475, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, NZL
-3.1758, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, NZL
-2.5441, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, NZL
-2.0424, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, NZL
-2.0867, 2040-2059, Ensemble (10th Percentile), May Anomaly, NZL
-1.8303, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, NZL
-1.805, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, NZL
-1.7957, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, NZL
-1.3906, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, NZL
-1.4599, 2040-2059, Ensemble (10th Percentile), Oct Anomaly, NZL
-1.5127, 2040-2059, Ensemble (10th Percentile), Nov Anomaly, NZL
-1.8167, 2040-2059, Ensemble (10th Percentile), Dec Anomaly, NZL
-0.3913, 2040-2059, Ensemble (50th Percentile), Jan Anomaly, NZL
-0.6454, 2040-2059, Ensemble (50th Percentile), Feb Anomaly, NZL
-0.3147, 2040-2059, Ensemble (50th Percentile), Mar Anomaly, NZL
-0.1673, 2040-2059, Ensemble (50th Percentile), Apr Anomaly, NZL
-0.3236, 2040-2059, Ensemble (50th Percentile), May Anomaly, NZL
-0.3642, 2040-2059, Ensemble (50th Percentile), Jun Anomaly, NZL
-0.5418, 2040-2059, Ensemble (50th Percentile), Jul Anomaly, NZL
-0.2668, 2040-2059, Ensemble (50th Percentile), Aug Anomaly, NZL
-0.0881, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, NZL
-0.0525, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, NZL
-0.0786, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, NZL
-0.1371, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, NZL
2.79898, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, NZL
2.5741, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, NZL
3.18176, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, NZL
2.13018, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, NZL
2.01384, 2040-2059, Ensemble (90th Percentile), May Anomaly, NZL
1.59372, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, NZL
1.97998, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, NZL
2.46288, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, NZL
1.52293, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, NZL
1.89305, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, NZL
1.83168, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, NZL
2.19022, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, NZL
1.73943, 2040-2059, access1_0, Annual Anomaly, NZL
-0.2992, 2040-2059, access1_3, Annual Anomaly, NZL
-0.3626, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NZL
-0.9609, 2040-2059, bcc_csm1_1, Annual Anomaly, NZL
0.64182, 2040-2059, bnu_esm, Annual Anomaly, NZL
-0.0085, 2040-2059, canesm2, Annual Anomaly, NZL
0.91379, 2040-2059, ccsm4, Annual Anomaly, NZL
0.11909, 2040-2059, cesm1_bgc, Annual Anomaly, NZL
-0.1614, 2040-2059, cesm1_cam5, Annual Anomaly, NZL
0.52707, 2040-2059, cnrm_cm5, Annual Anomaly, NZL
0.31276, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NZL
-1.0999, 2040-2059, gfdl_cm3, Annual Anomaly, NZL
-0.7642, 2040-2059, gfdl_esm2g, Annual Anomaly, NZL
-0.6043, 2040-2059, gfdl_esm2m, Annual Anomaly, NZL
0.2496, 2040-2059, hadgem2_ao, Annual Anomaly, NZL
0.38189, 2040-2059, hadgem2_cc, Annual Anomaly, NZL
-0.0063, 2040-2059, inmcm4, Annual Anomaly, NZL
-0.5177, 2040-2059, miroc5, Annual Anomaly, NZL
-0.1655, 2040-2059, miroc_esm, Annual Anomaly, NZL
0.78708, 2040-2059, mpi_esm_lr, Annual Anomaly, NZL
-1.4408, 2040-2059, mpi_esm_mr, Annual Anomaly, NZL
-0.6129, 2040-2059, mri_cgcm3, Annual Anomaly, NZL
-0.5693, 2040-2059, noresm1_m, Annual Anomaly, NZL
-3.5346, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NZL
-0.8482, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NZL
3.47514, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NZL
